entry_id,project_id,date,cost_code,category,vendor,amount,description
C-1061,P-101,2026-01-29,03-300,Concrete,Riverstone Roofing,19688.72,Concrete — progress 62
C-1062,P-102,2026-02-05,16-100,Electrical,Pacific Concrete Supply,48556.41,Electrical — progress 1
C-1063,P-102,2026-01-10,22-000,Site Utilities,Ironclad Steel Co.,36007.66,Site Utilities — progress 2
C-1064,P-102,2026-02-21,02-300,Earthwork,Riverstone Roofing,44361.56,Earthwork — progress 3
C-1065,P-102,2026-02-07,16-100,Electrical,Pacific Concrete Supply,34068.66,Electrical — progress 4
C-1066,P-102,2026-04-10,03-300,Concrete,Kingfisher Glazing,25312.09,Concrete — progress 5
C-1067,P-102,2026-01-29,01-100,General Conditions,Apex Earthworks,3041.13,General Conditions — progress 6
C-1068,P-102,2026-03-20,02-300,Earthwork,Kingfisher Glazing,41449.47,Earthwork — progress 7
C-1069,P-102,2026-03-11,01-100,General Conditions,Riverstone Roofing,41187.9,General Conditions — progress 8
C-1070,P-102,2026-03-19,05-100,Structural Steel,Riverstone Roofing,47312.52,Structural Steel — progress 9
C-1071,P-102,2026-02-09,03-300,Concrete,Cornerstone Millwork,51345.55,Concrete — progress 10
C-1072,P-102,2026-04-08,01-100,General Conditions,Brightway Electric,3098.26,General Conditions — progress 11
C-1073,P-102,2026-03-25,22-000,Site Utilities,ProMech HVAC,38533,Site Utilities — progress 12
C-1074,P-102,2026-02-03,01-100,General Conditions,ProMech HVAC,48368.31,General Conditions — progress 13
C-1075,P-102,2026-03-28,16-100,Electrical,Ironclad Steel Co.,33295.05,Electrical — progress 14
C-1076,P-102,2026-01-19,07-500,Roofing,Riverstone Roofing,57074.06,Roofing — progress 15
C-1077,P-102,2025-12-28,03-300,Concrete,BlueOak Plumbing,10417.06,Concrete — progress 16
C-1078,P-102,2026-03-28,16-100,Electrical,BlueOak Plumbing,16358.5,Electrical — progress 17
C-1079,P-102,2026-02-08,09-200,Drywall,Summit Drywall Partners,14443.02,Drywall — progress 18
C-1080,P-102,2026-01-22,01-100,General Conditions,Brightway Electric,62563.18,General Conditions — progress 19
C-1081,P-102,2026-04-16,06-100,Rough Carpentry,Brightway Electric,46888.5,Rough Carpentry — progress 20
C-1082,P-102,2026-01-08,07-500,Roofing,Summit Drywall Partners,12847.33,Roofing — progress 21
C-1083,P-102,2026-03-30,02-300,Earthwork,Cornerstone Millwork,6483.17,Earthwork — progress 22
C-1084,P-102,2026-03-27,07-500,Roofing,Riverstone Roofing,33768.82,Roofing — progress 23
C-1085,P-102,2026-01-31,03-300,Concrete,ProMech HVAC,64069.62,Concrete — progress 24
C-1086,P-102,2026-03-28,09-200,Drywall,Riverstone Roofing,49956.98,Drywall — progress 25
C-1087,P-102,2026-03-22,07-500,Roofing,ProMech HVAC,3465.85,Roofing — progress 26
C-1088,P-102,2026-03-01,05-100,Structural Steel,BlueOak Plumbing,33175.49,Structural Steel — progress 27
C-1089,P-102,2026-04-14,22-000,Site Utilities,Kingfisher Glazing,50125.96,Site Utilities — progress 28
C-1090,P-102,2026-04-15,09-200,Drywall,Summit Drywall Partners,36281.82,Drywall — progress 29
C-1091,P-102,2026-02-23,07-500,Roofing,Apex Earthworks,37863.15,Roofing — progress 30
C-1092,P-102,2026-04-21,15-400,Plumbing,Apex Earthworks,12747.5,Plumbing — progress 31
C-1093,P-102,2025-12-31,05-100,Structural Steel,Riverstone Roofing,40933.31,Structural Steel — progress 32
C-1094,P-102,2026-04-16,09-200,Drywall,Riverstone Roofing,32795.01,Drywall — progress 33
C-1095,P-102,2026-01-21,03-300,Concrete,Cornerstone Millwork,46991.54,Concrete — progress 34
C-1096,P-102,2026-01-12,07-500,Roofing,Ironclad Steel Co.,1785.25,Roofing — progress 35
C-1097,P-102,2026-02-19,07-500,Roofing,BlueOak Plumbing,44855.58,Roofing — progress 36
C-1098,P-102,2026-01-09,15-400,Plumbing,Cornerstone Millwork,64476.73,Plumbing — progress 37
C-1099,P-102,2026-01-14,22-000,Site Utilities,Ironclad Steel Co.,52962.66,Site Utilities — progress 38
C-1100,P-102,2025-12-23,01-100,General Conditions,BlueOak Plumbing,32769.14,General Conditions — progress 39
C-1101,P-102,2026-01-18,06-100,Rough Carpentry,Cornerstone Millwork,54992.88,Rough Carpentry — progress 40
C-1102,P-102,2026-02-02,05-100,Structural Steel,Apex Earthworks,11011.23,Structural Steel — progress 41
C-1103,P-102,2026-04-15,03-300,Concrete,ProMech HVAC,16478.44,Concrete — progress 42
C-1104,P-102,2026-02-04,22-000,Site Utilities,Apex Earthworks,27489.28,Site Utilities — progress 43
C-1105,P-102,2026-04-20,15-400,Plumbing,Summit Drywall Partners,57120.19,Plumbing — progress 44
C-1106,P-102,2026-01-04,07-500,Roofing,BlueOak Plumbing,25702.98,Roofing — progress 45
C-1107,P-102,2026-03-15,07-500,Roofing,Pacific Concrete Supply,35281.92,Roofing — progress 46
C-1108,P-102,2026-02-09,01-100,General Conditions,Riverstone Roofing,42548.73,General Conditions — progress 47
C-1109,P-102,2026-02-09,02-300,Earthwork,Pacific Concrete Supply,26255.42,Earthwork — progress 48
C-1110,P-102,2025-12-25,03-300,Concrete,Summit Drywall Partners,44772.12,Concrete — progress 49
C-1111,P-102,2026-02-15,15-400,Plumbing,Ironclad Steel Co.,58714.79,Plumbing — progress 50
C-1112,P-102,2026-04-14,01-100,General Conditions,Ironclad Steel Co.,59196.03,General Conditions — progress 51
C-1113,P-102,2026-02-18,01-100,General Conditions,Ironclad Steel Co.,48953.02,General Conditions — progress 52
C-1114,P-103,2026-01-12,06-100,Rough Carpentry,BlueOak Plumbing,13898.3,Rough Carpentry — progress 1
C-1115,P-103,2026-04-16,15-400,Plumbing,Summit Drywall Partners,39079.51,Plumbing — progress 2
C-1116,P-103,2026-03-03,09-200,Drywall,Pacific Concrete Supply,27495.19,Drywall — progress 3
C-1117,P-103,2026-04-05,16-100,Electrical,Cornerstone Millwork,47975.97,Electrical — progress 4
C-1118,P-103,2025-12-29,07-500,Roofing,BlueOak Plumbing,39254.11,Roofing — progress 5
C-1119,P-103,2025-12-25,02-300,Earthwork,Cornerstone Millwork,45473.68,Earthwork — progress 6
C-1120,P-103,2026-02-19,22-000,Site Utilities,ProMech HVAC,15853.38,Site Utilities — progress 7
C-1121,P-103,2025-12-25,09-200,Drywall,BlueOak Plumbing,63467.62,Drywall — progress 8
C-1122,P-103,2026-02-08,22-000,Site Utilities,Brightway Electric,17370.59,Site Utilities — progress 9
C-1123,P-103,2025-12-29,06-100,Rough Carpentry,Brightway Electric,33895.92,Rough Carpentry — progress 10
C-1124,P-103,2026-03-18,22-000,Site Utilities,Summit Drywall Partners,41212.95,Site Utilities — progress 11
C-1125,P-103,2026-03-09,07-500,Roofing,Kingfisher Glazing,12399.16,Roofing — progress 12
C-1126,P-103,2026-02-01,09-200,Drywall,Kingfisher Glazing,58138.66,Drywall — progress 13
C-1127,P-103,2026-02-27,15-400,Plumbing,BlueOak Plumbing,30296.03,Plumbing — progress 14
C-1128,P-103,2026-02-05,07-500,Roofing,Apex Earthworks,11913.71,Roofing — progress 15
C-1129,P-103,2026-03-07,06-100,Rough Carpentry,BlueOak Plumbing,2078.56,Rough Carpentry — progress 16
C-1130,P-103,2026-03-19,01-100,General Conditions,Pacific Concrete Supply,30649.86,General Conditions — progress 17
C-1131,P-103,2026-01-26,05-100,Structural Steel,ProMech HVAC,19007.33,Structural Steel — progress 18
C-1132,P-103,2026-03-11,15-400,Plumbing,Ironclad Steel Co.,31240.96,Plumbing — progress 19
C-1133,P-103,2026-03-29,06-100,Rough Carpentry,Cornerstone Millwork,58026.25,Rough Carpentry — progress 20
C-1134,P-103,2026-02-25,03-300,Concrete,Apex Earthworks,43565.03,Concrete — progress 21
C-1135,P-103,2025-12-30,07-500,Roofing,Cornerstone Millwork,25025.19,Roofing — progress 22
C-1136,P-103,2026-02-12,03-300,Concrete,Ironclad Steel Co.,3460.72,Concrete — progress 23
C-1137,P-103,2026-02-16,09-200,Drywall,Summit Drywall Partners,39686.06,Drywall — progress 24
C-1138,P-103,2026-01-30,09-200,Drywall,Ironclad Steel Co.,59073.14,Drywall — progress 25
C-1139,P-103,2026-03-25,22-000,Site Utilities,Summit Drywall Partners,26060.64,Site Utilities — progress 26
C-1140,P-103,2026-02-28,06-100,Rough Carpentry,BlueOak Plumbing,24839.02,Rough Carpentry — progress 27
C-1141,P-103,2026-01-07,02-300,Earthwork,Riverstone Roofing,16394.88,Earthwork — progress 28
C-1142,P-103,2026-02-18,16-100,Electrical,Cornerstone Millwork,37705.33,Electrical — progress 29
C-1143,P-103,2026-03-26,07-500,Roofing,Ironclad Steel Co.,3593.28,Roofing — progress 30
C-1144,P-103,2026-04-07,06-100,Rough Carpentry,Riverstone Roofing,50222.5,Rough Carpentry — progress 31
C-1145,P-103,2026-03-07,22-000,Site Utilities,ProMech HVAC,47625.3,Site Utilities — progress 32
C-1146,P-103,2026-01-22,05-100,Structural Steel,Pacific Concrete Supply,38440.98,Structural Steel — progress 33
C-1147,P-103,2026-01-10,06-100,Rough Carpentry,Ironclad Steel Co.,8846.15,Rough Carpentry — progress 34
C-1148,P-103,2026-01-21,09-200,Drywall,Kingfisher Glazing,5310.82,Drywall — progress 35
C-1149,P-103,2026-03-30,02-300,Earthwork,Riverstone Roofing,15381.03,Earthwork — progress 36
C-1150,P-103,2026-03-02,01-100,General Conditions,ProMech HVAC,26174.24,General Conditions — progress 37
C-1151,P-103,2026-02-23,07-500,Roofing,Apex Earthworks,2333.16,Roofing — progress 38
C-1152,P-103,2026-03-25,03-300,Concrete,Apex Earthworks,13342.58,Concrete — progress 39
C-1153,P-103,2025-12-25,02-300,Earthwork,Apex Earthworks,57891.96,Earthwork — progress 40
C-1154,P-103,2026-02-19,02-300,Earthwork,Kingfisher Glazing,14361.83,Earthwork — progress 41
C-1155,P-103,2026-01-03,22-000,Site Utilities,Ironclad Steel Co.,15409.72,Site Utilities — progress 42
C-1156,P-103,2025-12-28,15-400,Plumbing,BlueOak Plumbing,41483.4,Plumbing — progress 43
C-1157,P-103,2026-01-29,16-100,Electrical,Brightway Electric,2169.71,Electrical — progress 44
C-1158,P-103,2026-02-17,06-100,Rough Carpentry,Cornerstone Millwork,5930.17,Rough Carpentry — progress 45
C-1159,P-103,2025-12-23,09-200,Drywall,Kingfisher Glazing,14012.83,Drywall — progress 46
C-1160,P-103,2026-04-17,22-000,Site Utilities,Cornerstone Millwork,22917.22,Site Utilities — progress 47
C-1161,P-103,2026-01-19,03-300,Concrete,Ironclad Steel Co.,24072.16,Concrete — progress 48
C-1162,P-103,2026-02-04,09-200,Drywall,Summit Drywall Partners,39666.02,Drywall — progress 49
C-1163,P-103,2026-04-14,02-300,Earthwork,Riverstone Roofing,45065.98,Earthwork — progress 50
C-1164,P-103,2026-01-15,05-100,Structural Steel,Cornerstone Millwork,28159.32,Structural Steel — progress 51
C-1165,P-103,2026-03-29,05-100,Structural Steel,Summit Drywall Partners,40042.42,Structural Steel — progress 52
C-1166,P-103,2026-03-01,07-500,Roofing,Apex Earthworks,23618.52,Roofing — progress 53
C-1167,P-103,2026-04-12,15-400,Plumbing,Kingfisher Glazing,42827.24,Plumbing — progress 54
C-1168,P-103,2026-01-09,07-500,Roofing,Riverstone Roofing,50832.43,Roofing — progress 55
C-1169,P-104,2026-03-04,03-300,Concrete,Riverstone Roofing,64107.03,Concrete — progress 1
C-1170,P-104,2026-01-01,22-000,Site Utilities,Kingfisher Glazing,7264.3,Site Utilities — progress 2
C-1171,P-104,2026-03-20,07-500,Roofing,Apex Earthworks,52226.93,Roofing — progress 3
C-1172,P-104,2026-03-10,22-000,Site Utilities,Apex Earthworks,5245.38,Site Utilities — progress 4
C-1173,P-104,2026-02-25,05-100,Structural Steel,Brightway Electric,18178.07,Structural Steel — progress 5
C-1174,P-104,2026-03-28,01-100,General Conditions,Brightway Electric,46407.71,General Conditions — progress 6
C-1175,P-104,2026-04-17,16-100,Electrical,Summit Drywall Partners,6914.67,Electrical — progress 7
C-1176,P-104,2026-02-26,06-100,Rough Carpentry,ProMech HVAC,42361.63,Rough Carpentry — progress 8
C-1177,P-104,2026-01-18,02-300,Earthwork,Riverstone Roofing,48623.03,Earthwork — progress 9
C-1178,P-104,2026-03-08,09-200,Drywall,Riverstone Roofing,63990.36,Drywall — progress 10
C-1179,P-104,2026-03-03,05-100,Structural Steel,Pacific Concrete Supply,44603.17,Structural Steel — progress 11
C-1180,P-104,2026-02-03,16-100,Electrical,Kingfisher Glazing,37279.24,Electrical — progress 12
C-1181,P-104,2026-01-03,09-200,Drywall,Kingfisher Glazing,33634.3,Drywall — progress 13
C-1182,P-104,2026-03-22,01-100,General Conditions,Pacific Concrete Supply,39715.39,General Conditions — progress 14
C-1183,P-104,2026-01-24,03-300,Concrete,ProMech HVAC,16173.36,Concrete — progress 15
C-1184,P-104,2025-12-26,07-500,Roofing,Kingfisher Glazing,47248.09,Roofing — progress 16
C-1185,P-104,2026-03-21,02-300,Earthwork,Ironclad Steel Co.,24361.86,Earthwork — progress 17
C-1186,P-104,2026-01-25,16-100,Electrical,Brightway Electric,58243.68,Electrical — progress 18
C-1187,P-104,2026-02-07,15-400,Plumbing,Apex Earthworks,18896.3,Plumbing — progress 19
C-1188,P-104,2026-02-05,15-400,Plumbing,Riverstone Roofing,34154.43,Plumbing — progress 20
C-1189,P-104,2025-12-28,02-300,Earthwork,Apex Earthworks,6764.93,Earthwork — progress 21
C-1190,P-104,2026-01-11,05-100,Structural Steel,ProMech HVAC,8837.54,Structural Steel — progress 22
C-1191,P-104,2026-02-13,02-300,Earthwork,Summit Drywall Partners,27278.41,Earthwork — progress 23
C-1192,P-104,2026-04-16,05-100,Structural Steel,Summit Drywall Partners,63324.26,Structural Steel — progress 24
C-1193,P-104,2026-02-17,03-300,Concrete,Brightway Electric,6758.83,Concrete — progress 25
C-1194,P-104,2026-03-18,22-000,Site Utilities,ProMech HVAC,43386.5,Site Utilities — progress 26
C-1195,P-104,2026-03-28,05-100,Structural Steel,BlueOak Plumbing,58783.13,Structural Steel — progress 27
C-1196,P-104,2026-03-06,16-100,Electrical,Riverstone Roofing,12332.48,Electrical — progress 28
C-1197,P-104,2026-02-09,06-100,Rough Carpentry,Riverstone Roofing,32441.87,Rough Carpentry — progress 29
C-1198,P-104,2026-02-01,05-100,Structural Steel,BlueOak Plumbing,45105.22,Structural Steel — progress 30
C-1199,P-104,2026-04-05,06-100,Rough Carpentry,Ironclad Steel Co.,12420.79,Rough Carpentry — progress 31
C-1200,P-104,2026-02-17,16-100,Electrical,Riverstone Roofing,18692.62,Electrical — progress 32
C-1201,P-104,2026-04-13,16-100,Electrical,BlueOak Plumbing,31493.82,Electrical — progress 33
C-1202,P-104,2026-02-13,09-200,Drywall,Pacific Concrete Supply,55167.49,Drywall — progress 34
C-1203,P-104,2026-04-21,02-300,Earthwork,Ironclad Steel Co.,51657.69,Earthwork — progress 35
C-1204,P-104,2026-03-20,05-100,Structural Steel,Pacific Concrete Supply,52813.33,Structural Steel — progress 36
C-1205,P-104,2026-03-18,15-400,Plumbing,Cornerstone Millwork,48045.67,Plumbing — progress 37
C-1206,P-104,2026-02-21,02-300,Earthwork,Kingfisher Glazing,59695.78,Earthwork — progress 38
C-1207,P-104,2026-03-09,03-300,Concrete,BlueOak Plumbing,4884.26,Concrete — progress 39
C-1208,P-104,2026-03-19,22-000,Site Utilities,Cornerstone Millwork,63355.54,Site Utilities — progress 40
C-1209,P-104,2026-03-23,16-100,Electrical,Summit Drywall Partners,5450.02,Electrical — progress 41
C-1210,P-104,2026-02-04,22-000,Site Utilities,Kingfisher Glazing,50011.15,Site Utilities — progress 42
C-1211,P-104,2025-12-23,02-300,Earthwork,Cornerstone Millwork,56257.43,Earthwork — progress 43
C-1212,P-104,2026-03-08,09-200,Drywall,Brightway Electric,3670.17,Drywall — progress 44
C-1213,P-104,2026-01-23,05-100,Structural Steel,Apex Earthworks,44350.64,Structural Steel — progress 45
C-1214,P-104,2026-03-17,01-100,General Conditions,Cornerstone Millwork,10291.84,General Conditions — progress 46
C-1215,P-104,2025-12-26,06-100,Rough Carpentry,Apex Earthworks,22450.09,Rough Carpentry — progress 47
C-1216,P-104,2026-03-25,06-100,Rough Carpentry,Kingfisher Glazing,12012.46,Rough Carpentry — progress 48
C-1217,P-104,2026-01-27,02-300,Earthwork,Apex Earthworks,54926.7,Earthwork — progress 49
C-1218,P-104,2026-03-23,05-100,Structural Steel,Cornerstone Millwork,27359.48,Structural Steel — progress 50
C-1219,P-104,2026-04-03,09-200,Drywall,Cornerstone Millwork,53745.52,Drywall — progress 51
C-1220,P-104,2025-12-29,16-100,Electrical,Summit Drywall Partners,12706.1,Electrical — progress 52
C-1221,P-104,2026-01-05,07-500,Roofing,Ironclad Steel Co.,54201.86,Roofing — progress 53
C-1222,P-104,2026-02-07,06-100,Rough Carpentry,Kingfisher Glazing,9477.83,Rough Carpentry — progress 54
C-1223,P-104,2026-03-28,01-100,General Conditions,Brightway Electric,3102.04,General Conditions — progress 55
C-1224,P-104,2025-12-30,02-300,Earthwork,ProMech HVAC,26501.63,Earthwork — progress 56
C-1225,P-104,2026-02-20,05-100,Structural Steel,Riverstone Roofing,18009.18,Structural Steel — progress 57
C-1226,P-104,2026-02-23,22-000,Site Utilities,Kingfisher Glazing,35199.51,Site Utilities — progress 58
C-1227,P-104,2026-02-19,15-400,Plumbing,Summit Drywall Partners,8371.84,Plumbing — progress 59
C-1228,P-104,2025-12-25,06-100,Rough Carpentry,Riverstone Roofing,15863.58,Rough Carpentry — progress 60
C-1229,P-104,2026-03-04,06-100,Rough Carpentry,Ironclad Steel Co.,34610.9,Rough Carpentry — progress 61
C-1230,P-105,2026-01-22,03-300,Concrete,Brightway Electric,2478.04,Concrete — progress 1
C-1231,P-105,2026-02-28,22-000,Site Utilities,Riverstone Roofing,57476.01,Site Utilities — progress 2
C-1232,P-105,2026-02-04,05-100,Structural Steel,BlueOak Plumbing,59774.36,Structural Steel — progress 3
C-1233,P-105,2026-01-13,09-200,Drywall,BlueOak Plumbing,40322.33,Drywall — progress 4
C-1234,P-105,2026-02-12,05-100,Structural Steel,ProMech HVAC,32397.48,Structural Steel — progress 5
C-1235,P-105,2026-02-25,03-300,Concrete,Brightway Electric,32793.62,Concrete — progress 6
C-1236,P-105,2026-03-09,06-100,Rough Carpentry,Ironclad Steel Co.,16781.58,Rough Carpentry — progress 7
C-1237,P-105,2026-03-01,02-300,Earthwork,Ironclad Steel Co.,43528.77,Earthwork — progress 8
C-1238,P-105,2026-02-13,03-300,Concrete,Brightway Electric,13135.29,Concrete — progress 9
C-1239,P-105,2026-02-13,07-500,Roofing,Riverstone Roofing,50462.84,Roofing — progress 10
C-1240,P-105,2026-01-13,15-400,Plumbing,BlueOak Plumbing,25903.14,Plumbing — progress 11
C-1241,P-105,2025-12-31,22-000,Site Utilities,BlueOak Plumbing,50593.56,Site Utilities — progress 12
C-1242,P-105,2026-03-30,03-300,Concrete,Apex Earthworks,9093.9,Concrete — progress 13
C-1243,P-105,2026-02-22,09-200,Drywall,Kingfisher Glazing,19725.63,Drywall — progress 14
C-1244,P-105,2026-03-15,07-500,Roofing,Apex Earthworks,65098.79,Roofing — progress 15
C-1245,P-105,2026-04-20,09-200,Drywall,Pacific Concrete Supply,59917.01,Drywall — progress 16
C-1246,P-105,2026-04-15,07-500,Roofing,Kingfisher Glazing,19237.76,Roofing — progress 17
C-1247,P-105,2026-02-08,01-100,General Conditions,BlueOak Plumbing,60932.45,General Conditions — progress 18
C-1248,P-105,2026-03-13,07-500,Roofing,Kingfisher Glazing,52227.83,Roofing — progress 19
C-1249,P-105,2026-03-15,03-300,Concrete,Brightway Electric,7616.5,Concrete — progress 20
C-1250,P-105,2026-01-18,09-200,Drywall,BlueOak Plumbing,39918.12,Drywall — progress 21
C-1251,P-105,2026-01-23,05-100,Structural Steel,Ironclad Steel Co.,11021.01,Structural Steel — progress 22
C-1252,P-105,2026-01-19,01-100,General Conditions,Brightway Electric,3678.63,General Conditions — progress 23
C-1253,P-105,2026-02-22,07-500,Roofing,Cornerstone Millwork,7399.59,Roofing — progress 24
C-1254,P-105,2026-02-23,07-500,Roofing,Cornerstone Millwork,24976.69,Roofing — progress 25
C-1255,P-105,2026-02-11,01-100,General Conditions,Ironclad Steel Co.,11170.79,General Conditions — progress 26
C-1256,P-105,2026-03-30,16-100,Electrical,Brightway Electric,47000.52,Electrical — progress 27
C-1257,P-105,2026-03-04,16-100,Electrical,Riverstone Roofing,8369.41,Electrical — progress 28
C-1258,P-105,2025-12-29,07-500,Roofing,Cornerstone Millwork,5155.78,Roofing — progress 29
C-1259,P-105,2026-02-11,22-000,Site Utilities,Riverstone Roofing,30691.39,Site Utilities — progress 30
C-1260,P-105,2026-04-09,16-100,Electrical,Cornerstone Millwork,43909.84,Electrical — progress 31
C-1261,P-105,2025-12-30,15-400,Plumbing,BlueOak Plumbing,28489.77,Plumbing — progress 32
C-1262,P-105,2026-03-27,03-300,Concrete,ProMech HVAC,43879.49,Concrete — progress 33
C-1263,P-105,2025-12-30,03-300,Concrete,ProMech HVAC,59122.61,Concrete — progress 34
C-1264,P-105,2026-03-05,06-100,Rough Carpentry,Apex Earthworks,34051.96,Rough Carpentry — progress 35
