lease_id,property_id,tenant_name,unit,sqft,lease_start,lease_end,base_rent_monthly,escalation_pct,escalation_month,renewal_option,status
L-131,P003,Lumen Digital Labs,003-09,10437,2023-04-28,2028-09-28,30441,0.03,4,yes,active
L-132,P003,Pacific Table Bistro,003-10,10971,2025-05-07,2027-10-07,19199,0.025,5,yes,active
L-133,P003,Meridian Consulting Group,003-11,10389,2023-11-11,2027-03-11,24241,0.04,11,no,active
L-134,P003,Northstar Analytics,003-12,10926,2025-02-02,2030-09-02,25494,0.035,2,yes,active
L-135,P003,Northstar Analytics,003-13,11293,2025-06-06,2027-11-06,32938,0.04,6,yes,active
L-136,P003,Stonefire Pizzeria,003-14,11047,2025-09-07,2029-04-07,25776,0.035,9,no,active
L-137,P003,Crescent Capital Advisors,003-15,10596,2023-09-08,2027-12-08,31788,0.03,9,yes,active
L-138,P003,Lumen Digital Labs,003-16,11043,2023-11-02,2025-11-02,18405,0.035,11,yes,holdover
L-139,P003,Wildflower Wellness,003-17,10424,2024-06-15,2029-11-15,30403,0.035,6,no,active
L-140,P003,Blue Anchor Coffee Co.,003-18,10650,2024-10-08,2030-06-08,21300,0.025,10,yes,active
L-141,P003,Copperleaf Home Goods,003-19,11546,2024-02-26,2026-06-26,24054,0.035,2,no,expiring
L-142,P003,Harbor & Finch LLP,003-20,10979,2023-09-26,2028-11-26,19213,0.025,9,yes,active
L-401,P004,Redwood Distribution,004-01,61838,2023-01-01,2030-01-01,18000,0.03,1,yes,active
L-144,P004,Summit Fulfillment,004-02,62296,2024-03-04,2028-04-04,57105,0.035,3,yes,active
L-145,P004,Coastal Imports Co.,004-03,62449,2025-01-11,2031-09-11,67653,0.04,1,yes,active
L-146,P004,Sierra Freight Solutions,004-04,62006,2023-01-30,2029-07-30,67173,0.035,1,yes,active
L-147,P004,Trident Cold Storage,004-05,62210,2025-03-01,2027-11-29,77763,0.03,3,no,active
L-501,P005,Coastal Imports Co.,005-01,12825,2024-02-17,2026-12-19,22000,0.03,2,no,default
L-502,P005,Sterling Benefits Group,005-02,13935,2022-06-23,2026-06-07,28500,0.03,5,no,expiring
L-150,P005,Sterling Benefits Group,005-03,13179,2024-10-18,2029-01-18,45028,0.025,10,yes,active
L-151,P005,Brightpath Engineering,005-04,13591,2023-05-02,2028-04-02,47569,0.04,5,yes,active
L-152,P005,Lumen Digital Labs,005-05,13506,2024-01-26,2028-01-26,50648,0.025,1,yes,active
L-153,P005,Caldera Biotech Inc.,005-06,13258,2025-10-06,2028-05-06,38669,0.035,10,yes,active
L-154,P005,Harbor & Finch LLP,005-07,13351,2025-06-08,2031-01-08,51179,0.025,6,yes,active
L-155,P005,Crescent Capital Advisors,005-08,13220,2024-07-05,2030-08-05,48473,0.025,7,yes,active
L-156,P005,Vantage Wealth Management,005-09,13929,2024-10-07,2027-07-07,44109,0.04,10,yes,active
L-157,P005,Meridian Consulting Group,005-10,13441,2024-02-23,2031-01-23,45923,0.035,2,no,active
L-158,P005,Ironwood Architecture,005-11,13881,2025-07-28,2028-08-28,60151,0.04,7,yes,active
L-159,P005,Pivot Health Partners,005-12,13246,2024-01-06,2030-06-06,39738,0.04,1,yes,active
L-160,P005,Lumen Digital Labs,005-13,13218,2025-01-01,2029-12-02,52872,0.03,1,yes,active
L-161,P005,Lumen Digital Labs,005-14,13281,2023-02-16,2028-12-16,28776,0.025,2,yes,active
L-162,P005,Sterling Benefits Group,005-15,12909,2023-11-23,2029-11-23,48409,0.025,11,no,active
L-163,P006,Third Avenue Books,006-01,7793,2025-01-18,2031-07-18,15586,0.04,1,yes,active
L-164,P006,Pacific Table Bistro,006-02,7390,2025-09-15,2032-05-15,26481,0.03,9,no,active
L-165,P006,Lantern & Leaf,006-03,8272,2024-10-23,2028-03-23,17233,0.025,10,no,active
L-166,P006,Studio Velo Cycling,006-04,8140,2025-08-21,2032-01-21,25098,0.035,8,no,active
L-167,P006,Stonefire Pizzeria,006-05,8320,2024-08-17,2027-02-17,19413,0.04,8,yes,active
L-168,P006,Wildflower Wellness,006-06,7772,2023-10-17,2026-02-17,21373,0.035,10,no,holdover
L-169,P006,Atlas Outfitters,006-07,8376,2023-08-23,2026-04-23,24430,0.03,8,no,expiring
L-170,P006,Blue Anchor Coffee Co.,006-08,7946,2025-01-22,2029-07-22,29798,0.04,1,yes,active
L-701,P007,Apex Logistics Inc.,007-01,105749,2023-03-02,2028-12-02,47500,0.03,3,yes,active
L-172,P007,Coastal Imports Co.,007-02,104635,2025-05-20,2028-08-20,113355,0.025,5,no,active
L-173,P007,Apex Logistics Inc.,007-03,105480,2024-07-20,2028-03-20,105480,0.035,7,yes,active
L-174,P007,Summit Fulfillment,007-04,105648,2023-12-15,2028-05-15,114452,0.03,12,yes,active
L-175,P008,Pivot Health Partners,008-01,11843,2024-12-31,2030-05-31,37503,0.03,12,yes,active
L-176,P008,Sterling Benefits Group,008-02,12299,2023-01-20,2029-06-20,43047,0.04,1,yes,active
L-177,P008,Ironwood Architecture,008-03,11816,2025-02-10,2027-05-10,50218,0.035,2,yes,active
L-178,P008,Meridian Consulting Group,008-04,12223,2025-02-24,2027-12-24,31576,0.03,2,no,active
L-179,P008,Lumen Digital Labs,008-05,12210,2023-07-21,2026-11-21,51893,0.04,7,yes,active
L-180,P008,Harbor & Finch LLP,008-06,12218,2023-04-30,2027-09-30,48872,0.03,4,no,active
L-181,P008,Brightpath Engineering,008-07,12306,2024-01-25,2028-08-25,45122,0.04,1,yes,active
L-182,P008,Oakridge Tax Services,008-08,12333,2023-05-15,2028-12-15,28777,0.04,5,yes,active
L-183,P009,Atlas Outfitters,009-01,7270,2023-05-25,2027-05-25,22416,0.03,5,yes,active
L-184,P009,Copperleaf Home Goods,009-02,7145,2023-02-18,2027-12-18,28580,0.035,2,yes,active
L-185,P009,Blue Anchor Coffee Co.,009-03,7854,2025-01-05,2032-01-05,18981,0.035,1,yes,active
L-186,P009,Mercer & Co. Apparel,009-04,7049,2023-04-25,2030-04-25,16448,0.035,4,yes,active
L-187,P009,Bluebird Bakery,009-05,7010,2024-07-12,2029-07-12,21614,0.03,7,yes,active
L-188,P009,Stonefire Pizzeria,009-06,7388,2025-03-18,2030-08-18,24011,0.04,3,no,active
L-189,P009,Pacific Table Bistro,009-07,7849,2024-05-01,2030-03-03,15698,0.03,5,yes,active
L-190,P009,Studio Velo Cycling,009-08,7472,2023-06-22,2030-05-22,22416,0.025,6,yes,active
L-191,P009,Third Avenue Books,009-09,6897,2025-02-25,2031-03-25,16668,0.03,2,yes,active
L-192,P009,The Daily Grocer,009-10,7680,2024-06-08,2030-10-08,30720,0.04,6,no,active
L-193,P010,Crescent Capital Advisors,010-01,7584,2024-05-26,2029-06-26,13272,0.03,5,no,active
L-194,P010,Stonefire Pizzeria,010-02,8218,2025-02-20,2031-02-20,34242,0.025,2,yes,active
L-195,P010,Copperleaf Home Goods,010-03,8112,2023-09-10,2029-06-10,33800,0.04,9,no,active
L-196,P010,Mercer & Co. Apparel,010-04,8381,2023-04-16,2027-02-16,26540,0.035,4,yes,active
L-197,P010,Northstar Analytics,010-05,8237,2023-12-05,2027-01-05,17847,0.04,12,yes,active
L-198,P010,Harbor & Finch LLP,010-06,7525,2023-03-07,2030-02-07,15677,0.03,3,yes,active
L-199,P010,Wildflower Wellness,010-07,8243,2024-11-21,2027-09-21,17860,0.035,11,no,active
L-200,P010,Pacific Table Bistro,010-08,8313,2023-11-15,2029-06-15,31174,0.025,11,yes,active
L-201,P010,Meridian Consulting Group,010-09,8025,2024-11-15,2031-06-15,30094,0.04,11,no,active
L-202,P010,Blue Anchor Coffee Co.,010-10,7813,2024-01-22,2030-06-22,15626,0.025,1,yes,active
L-203,P010,Lumen Digital Labs,010-11,7749,2025-03-06,2028-07-06,22601,0.035,3,yes,active
L-204,P010,Pivot Health Partners,010-12,7629,2024-06-22,2028-06-22,16530,0.03,6,yes,active
L-205,P010,Blue Anchor Coffee Co.,010-13,7761,2024-03-22,2027-06-22,25870,0.03,3,yes,active
L-206,P010,Northstar Analytics,010-14,8023,2023-09-01,2028-07-02,21395,0.03,9,no,active
L-207,P010,Crescent Capital Advisors,010-15,8544,2023-10-07,2025-10-07,33464,0.035,10,no,holdover
L-208,P010,Lumen Digital Labs,010-16,7607,2024-04-08,2029-04-08,27892,0.04,4,no,active
L-209,P010,Copperleaf Home Goods,010-17,7451,2025-08-05,2027-10-05,14902,0.025,8,no,active
L-210,P010,Pacific Table Bistro,010-18,7565,2023-03-12,2028-04-12,30260,0.03,3,yes,active
L-211,P010,Mercer & Co. Apparel,010-19,7966,2023-09-07,2029-06-07,13277,0.035,9,yes,active
L-212,P010,Copperleaf Home Goods,010-20,7469,2024-04-24,2026-12-24,14938,0.04,4,no,active
